rname,raddress,roverall_raw,rfood_raw,rservice_raw,rvalue_raw,ratmo_raw,cname,mname,roverall,rfood,rservice,rvalue,ratmo
House of Noodle,"2025 Santiam Hwy SE, Albany, OR 97322-4930",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,Thai,,80,80,80,80,70
Sam City Fusion,"2180 Pacific Blvd SE, Albany, OR 97321-5271",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Spring Roll,80,80,80,80,80
Sauce,"1640 Ashland St, Ashland, OR 97520-2327",4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,ui_bubble_rating bubble_40,ui_bubble_rating bubble_30,Vegan Options,,90,80,70,80,60
The Original pancake house,"3030 SW 6th St, Redmond, OR 97756-7162",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,American,,90,90,90,80,80
Original Pancake House,"8601 SW 24th Ave, Portland, OR 97219-4034",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,,The Tahitian Maiden's Dream,80,90,80,80,70
Biscuits Cafe,"19273 Molalla Ave Ste H, Oregon City, OR 97045-8053",4,ui_bubble_rating bubble_35,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,,,80,70,80,80,70
Hood River Taqueria,"1210 13th St, Hood River, OR 97031-1612",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,null,ui_bubble_rating bubble_45,Latin,,90,90,90,#VALUE!,90
Frankie's Restaurant,"641 Hickory St NW Ste 160, Albany, OR 97321-1768",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Gluten Free Options,,90,90,80,80,80
Sesame Asian Kitchen,"21 Winburn Way, Ashland, OR 97520-2735",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Lettuce Wraps,80,80,80,80,80
Frankie's Restaurant,"641 Hickory St NW Ste 160, Albany, OR 97321-1768",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Vegetarian Friendly,,90,90,80,80,80
Dang's Thai Kitchen,"670 N State St, Lake Oswego, OR 97034-2437",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,,80,80,80,80,80
Beasys On The Creek,"51 Water St Ste 333, Ashland, OR 97520-1841",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Spicy Pacific Rim Crab Cakes,80,80,80,80,90
Depot Cafe,"822 Lyon South Street, Albany, OR",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,American,,80,80,90,80,80
Stanford's Restaurant and Bar,"14801 Kruse Oaks Blvd, Lake Oswego, OR 97035-8600",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Grilled Portobello Mushroom,80,80,80,80,80
Stanford's Restaurant and Bar,"14801 Kruse Oaks Blvd, Lake Oswego, OR 97035-8600",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Crab & Avocado Roll,80,80,80,80,80
The Mesquitery,"1219 12th St, Hood River, OR 97031-1603",4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Chicken Skwewers,90,80,80,80,80
Dang's Thai Kitchen,"670 N State St, Lake Oswego, OR 97034-2437",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Asian,,80,80,80,80,80
New Hing's Restaurant,"517 Main St, Oregon City, OR 97045-1810",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_30,,Mar Far Chicken Wings,80,80,80,80,60
Taqueria Alonzo,"250 Broadalbin St SW Ste 107, Two Rivers Market, Albany, OR 97321-2265",4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,null,,,90,80,90,80,#VALUE!
Elmer's Restaurant - Albany,"2802 Santiam Hwy SE, Albany, OR 97322-5253",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,American,,80,80,90,80,80
Nicoletta's Table,"333 S State St, Suite M, Lake Oswego, OR 97034-3932",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,null,Deli,,90,90,90,80,#VALUE!
The Mesquitery,"1219 12th St, Hood River, OR 97031-1603",4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,BBQ Pizza,90,80,80,80,80
Calapooia Brewing Company,"140 NE Hill St, Albany, OR 97321-3002",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Squirrel Burger,80,80,80,80,80
Carino's Italian,"1825 14th Ave SE, Albany, OR 97322-8502",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,,Hand-Breaded Calamari,80,80,80,80,70
Sam City Fusion,"2180 Pacific Blvd SE, Albany, OR 97321-5271",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Vegetarian Friendly,,80,80,80,80,80
Three River's Grill,"601 Oak St, Hood River, OR 97031-1811",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Shwarma,80,80,80,80,90
House of Noodle,"2025 Santiam Hwy SE, Albany, OR 97322-4930",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,,Crispy Calamari,80,80,80,80,70
Diego's Spirited Kitchen,"447 SW 6th St, Redmond, OR 97756-2204",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Five Coconut Prawns,90,90,90,80,80
Black Bear Diner,"429 NW Cedar Ave, Suite 107, Redmond, OR 97756-1801",3.5,ui_bubble_rating bubble_35,ui_bubble_rating bubble_35,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,The Grizz! (1480 cals.),70,70,70,80,80
New Hing's Restaurant,"517 Main St, Oregon City, OR 97045-1810",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_30,,Fried Prawns,80,80,80,80,60
Seasons & Regions Seafood Grill,"6660 SW Capitol Hwy, Portland, OR 97219-1915",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Dungeness Crab Stuffed Salmon,90,90,90,80,80
Denny's,"3435 Spicer Dr SE, Albany, OR 97322-7039",4,ui_bubble_rating bubble_35,ui_bubble_rating bubble_35,null,null,,Pacific Chiller,80,70,70,#VALUE!,#VALUE!
Niblick & Greene's,"7535 Falcon Crest Dr, Redmond, OR 97756-5008",3.5,ui_bubble_rating bubble_35,ui_bubble_rating bubble_35,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,,70,70,70,80,80
Sauce,"1640 Ashland St, Ashland, OR 97520-2327",4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,ui_bubble_rating bubble_40,ui_bubble_rating bubble_30,,,90,80,70,80,60
Madaline's Grill Mexican American Bistro,"2414 S Highway 97, Redmond, OR 97756-8874",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Chocolate Chip Pancakes,80,90,90,80,80
Brian's Pourhouse,"606 Oak St, Hood River, OR 97031-1812",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Fried Brussels Sprouts,80,80,90,80,90
Mi Famiglia Wood Oven Pizzeria,"701 Main St, Oregon City, OR 97045-1800",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,,90,90,80,80,80
Sixth Street Bistro & Loft,"509 Cascade Ave Ste A, Hood River, OR 97031-2060",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,American,,90,90,90,80,80
Martino's Restaurant & Bar,"58 E Main St, Ashland, OR 97520-1814",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Eggplant Envolitini,80,80,80,80,80
China Gorge Restaurant,"2680 Old Columbia River Dr, Hood River, OR 97031-9523",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,null,ui_bubble_rating bubble_35,,Salad Roll,80,90,90,#VALUE!,70
Ami Japanese Restaurant,"634 SE Cass Ave, Roseburg, OR 97470-3155",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,ui_bubble_rating bubble_40,ui_bubble_rating bubble_30,Sushi,,80,80,70,80,60
Calapooia Brewing Company,"140 NE Hill St, Albany, OR 97321-3002",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Pizza Burger,80,80,80,80,80
Brickhouse Restaurant,"412 SW 6th St, Redmond, OR 97756-2203",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Dungeness Crab Cocktail,80,80,90,80,80
Beasys On The Creek,"51 Water St Ste 333, Ashland, OR 97520-1841",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Harvey's Homemade Clam Chowder,80,80,80,80,90
The Open Range,"17250 Highway 66, About 30 minutes east of Ashland, Ashland, OR 97520-9406",5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_50,null,ui_bubble_rating bubble_50,Steakhouse,,100,90,100,#VALUE!,100
Gramma's Corner Kitchen,"10800 SE McLoughlin Blvd, Milwaukie, OR 97222-7435",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,null,ui_bubble_rating bubble_35,Cafe,,80,90,90,#VALUE!,70
Stone Cliff Inn,"17900 S Clackamas River Dr, Hwy 224, Oregon City, OR 97045-8488",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Onion Ring Tower,80,80,80,80,90
Hunan Pearl Restaurant,"15160 Bangy Rd, Lake Oswego, OR 97035-3111",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Chinese,,90,90,90,80,80
Wild Ride Brew,"32 SW 5th Street, Redmond, OR 97756",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,American,,90,90,90,80,80
Stonehedge Gardens Wine Country Bistro,"3405 Wine Country Avenue, Hood River, OR 97031-9783",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,null,ui_bubble_rating bubble_45,,Buffalo Prawns,90,90,90,#VALUE!,90
Vault 244 Bistro,"244 1st Ave W, Albany, OR 97321-2224",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Steak Medallions,90,90,90,80,90
Midway Historic Public House,"1003 7th St, Oregon City, OR 97045-2405",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,American,,80,80,80,80,80
House of Noodle,"2025 Santiam Hwy SE, Albany, OR 97322-4930",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,,Heavenly Shrimp,80,80,80,80,70
Hunan Pearl Restaurant,"15160 Bangy Rd, Lake Oswego, OR 97035-3111",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Asian,,90,90,90,80,80
Simon's at the Columbia Gorge Hotel,"4000 Westcliff Dr, Hood River, OR 97031-8711",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,American,,80,80,80,80,90
Mariachi Loco Mexican Restaurant,"647 SE Jackson St, Roseburg, OR 97470",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,Mexican,,80,80,80,80,70
Chart House,"5700 SW Terwilliger, Portland, OR 97239",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Calamari & Friends,80,80,90,80,90
Ohana Hawaiian Cafe,"10608 SE Main St, Milwaukie, OR 97222-7513",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,,90,90,90,80,80
Hood River Taqueria,"1210 13th St, Hood River, OR 97031-1612",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,null,ui_bubble_rating bubble_45,Spanish,,90,90,90,#VALUE!,90
Bangkok West Cuisine,"2521 W Harvard Ave, Roseburg, OR 97471-2582",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Chinese,,90,90,90,80,80
Gubanc's,"16008 Boones Ferry Rd, Lake Oswego, OR 97035-4304",4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Cheese Fondue,90,80,90,80,80
Riccardo's,"16035 Boones Ferry Rd, Lake Oswego, OR 97035-4303",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,Italian,,90,90,90,80,90
Soup 2 Nuts,"457 SW 6th St, Redmond, OR 97756-2204",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_30,Soups,,90,90,90,80,60
Double Mountain Brewery,"8 4th St Ste 204, Hood River, OR 97031-2123",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Bacon Lettuce and Tomato,90,90,90,80,80
Black Bear Diner,"429 NW Cedar Ave, Suite 107, Redmond, OR 97756-1801",3.5,ui_bubble_rating bubble_35,ui_bubble_rating bubble_35,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,American,,70,70,70,80,80
Thai Pepper,"84 N Main St, Ashland, OR 97520-2782",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,THAI LIME BEEF SALAD WITH MANGO CHUTNEY - 7 with Beef,80,80,80,80,80
The Highland Stillhouse Pub,"201 S 2nd St, Oregon City, OR 97045-2905",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Wings of Tam O' Shanter,80,90,80,80,90
Hale's,"17502 SE McLoughlin Blvd, Milwaukie, OR 97267-5907",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,American,,90,90,90,80,80
Regios Cafe,"1154 NW 6th St, Redmond, OR 97756-1371",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,null,American,,80,80,90,80,#VALUE!
Crazy Pepper,"103 4th St, Hood River, OR 97031-2072",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Nachos Supreme,80,80,90,80,80
Elmer's Restaurant - Roseburg,"1440 NW Mulholland Dr, Roseburg, OR 97470-1942",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,Vegetarian Friendly,,80,80,80,80,70
Shanti's Indian Cuisine,"780 NW Garden Valley Blvd, Roseburg, OR 97471-1955",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,,Chat Samosas (2 Per Order),80,80,80,80,70
Pepper Tree Sausage House,"1125 Salem Ave SE, Albany, OR 97321-3032",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,,,90,90,90,80,70
Umami Sushi & Asian Cuisine,"62 E Main St, Ashland, OR 97520-1814",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Hamachi Kama,80,90,90,80,80
Seventh Street Brew House,"855 SW 7th St, Redmond, OR 97756-3106",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,American,,80,80,80,80,80
Sushi Valley,"419 Beavercreek Rd, Oregon City, OR 97045-4101",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,null,Asian,,80,80,80,80,#VALUE!
Original Pancake House,"8601 SW 24th Ave, Portland, OR 97219-4034",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,,Apple Pancake,80,90,80,80,70
Aji Tram Restaurant and Bar,"4477 Lakeview Blvd, Lake Oswego, OR 97035-5556",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,Korean,,90,90,90,80,90
Jersey Boys Pizzeria,"527 NW Elm Ave Ste 1, Redmond, OR 97756-1600",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,,80,80,90,80,80
Babica Hen Cafe,"15964 Boones Ferry Rd, Lake Oswego, OR 97035-4361",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Cafe,,90,90,90,80,80
Manzana Rotisserie Grill,"305 1st St, Lake Oswego, OR 97034-3101",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Vegetarian Friendly,,80,80,80,80,80
No Baloney,"2250 14th Ave SE, Albany, OR 97322-8601",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_50,null,null,Soups,,90,90,100,#VALUE!,#VALUE!
Thai O Restaurant,"974 SW Veterans Way, Fred Meyer Retail Center, Redmond, OR 97756-2564",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,Thai,,80,80,70,80,70
Ginza Japanese Restaurant,"2218 Santiam Hwy SE, Albany, OR 97322-5205",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,null,Sushi,,90,90,80,80,#VALUE!
Tavern on Kruse,"4835 Meadows Rd Ste 133, Lake Oswego, OR 97035-2624",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,null,American,,80,80,80,80,#VALUE!
First Burger,"210 1st Ave W, Albany, OR 97321-2224",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,The Uncle Sam,90,90,90,80,80
Sushi Okalani,"109 1st St, Hood River, OR 97031-2379",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Japanese,,90,90,90,80,80
AK's Tea Room,"525 6th Ave, Redmond, OR",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,,90,90,90,80,90
Celilo Restaurant and Bar,"16 Oak St, Hood River, OR 97031-2310",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Chicken,90,90,90,80,90
Baird's on B,"485 2nd St, Corner of 2nd and B Ave, Lake Oswego, OR 97034-3126",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,null,ui_bubble_rating bubble_45,American,,90,90,90,#VALUE!,90
Little Jean's Cafe,"1350 NE Stephens St, Ste 27, Roseburg, OR 97470-6418",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,null,null,American,,90,90,90,#VALUE!,#VALUE!
Sweet Waters Family Restaurant,"2830 Santiam Hwy SE, Albany, OR 97322-5253",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,Vegetarian Friendly,,80,80,80,80,70
Full Sail Brewing Co,"506 Columbia St, Hood River, OR 97031-2000",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Buffalo Hot Wings,80,80,80,80,90
Stanford's Restaurant and Bar,"14801 Kruse Oaks Blvd, Lake Oswego, OR 97035-8600",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Widmer Beer Battered Onion Rings,80,80,80,80,80
Calapooia Brewing Company,"140 NE Hill St, Albany, OR 97321-3002",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,American,,80,80,80,80,80
Stanford's Restaurant and Bar,"14801 Kruse Oaks Blvd, Lake Oswego, OR 97035-8600",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Vegetarian Friendly,,80,80,80,80,80
Chart House,"5700 SW Terwilliger, Portland, OR 97239",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,East Meets West Tuna,80,80,90,80,90
Tucci Ristorante,"220 A Ave, Ste 108, Lake Oswego, OR 97034-3195",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,Italian,,90,90,90,80,90
Loafers Station,"222 Washington St SW, Albany, OR 97321-2217",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,,90,90,90,80,90
A Cena Ristorante y Enoteca,"7742 SE 13th Ave, Portland, OR 97202-6348",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,null,ui_bubble_rating bubble_45,Mediterranean,,90,90,90,#VALUE!,90
One Street Down Cafe,"124 SW 7th St, Redmond, OR 97756-2110",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Farmer's Omelet,90,90,90,80,90
Oswego Grill,"7 Centerpointe Dr, Lake Oswego, OR 97035-8601",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Hand Cut & Breaded Chicken Tenderloins,90,90,90,80,90
Bugatti's Oregon City,"334 Warner Milne Rd, Oregon City, OR 97045-4046",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Vegetarian Friendly,,80,80,90,80,80
White Buffalo Wine Bar and Bistro,"4040 Westcliff Dr, Hood River, OR 97031-8711",4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Pizza,90,80,90,80,80
five-0-three restaurant & bar,"21900 Willamette Dr, West Linn, OR 97068-3280",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,potato-leek soup,80,80,90,80,80
Stanford's Restaurant and Bar,"14801 Kruse Oaks Blvd, Lake Oswego, OR 97035-8600",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Walnut Crusted Brie,80,80,80,80,80
Little Jean's Cafe,"1350 NE Stephens St, Ste 27, Roseburg, OR 97470-6418",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,null,null,,,90,90,90,#VALUE!,#VALUE!
Tinos Tacos,"792 NW Garden Valley Blvd, Roseburg, OR 97471-1919",4.5,ui_bubble_rating bubble_50,ui_bubble_rating bubble_45,null,null,Mexican,,90,100,90,#VALUE!,#VALUE!
Sushi Valley,"419 Beavercreek Rd, Oregon City, OR 97045-4101",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,null,Sushi,,80,80,80,80,#VALUE!
Parrott House,"1851 SE Stephens St, Roseburg, OR 97470-4058",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,null,Vegan Options,,80,80,80,80,#VALUE!
China Gorge Restaurant,"2680 Old Columbia River Dr, Hood River, OR 97031-9523",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,null,ui_bubble_rating bubble_35,,Cha Shiu Bao,80,90,90,#VALUE!,70
Vault 244 Bistro,"244 1st Ave W, Albany, OR 97321-2224",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Halibut Fish Tacos,90,90,90,80,90
Sweet Red Coffee & Wine Bistro,"208 1st Ave SW, Albany, OR 97321-2224",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,null,ui_bubble_rating bubble_45,American,,90,90,90,#VALUE!,90
First Burger,"210 1st Ave W, Albany, OR 97321-2224",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,The Mushroom Burger,90,90,90,80,80
Riverside Restaurant,"1108 E Marina Way, Best Western Plus Hood River Inn, Hood River, OR 97031-2378",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,HOUSEMADE GRANOLA & YOGURT,90,90,90,80,90
China Gorge Restaurant,"2680 Old Columbia River Dr, Hood River, OR 97031-9523",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,null,ui_bubble_rating bubble_35,,Shanghai Egg Roll (2),80,90,90,#VALUE!,70
thai basil,"6328 Meadows Rd, Lake Oswego, OR 97035-3280",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Thai,,80,90,80,80,80
Casetta di Pasta,"300 2nd Ave SW, Suite 112, Albany, OR 97321-2489",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,,90,90,80,80,80
